clip_id,start_time,end_time,change,decision
0,0.0000,0.5000,,WAIT
1,0.5000,1.0000,0.001105,SILENCE
2,1.0000,1.5000,0.002174,SILENCE
3,1.5000,2.0000,0.002564,SILENCE
4,2.0000,2.5000,0.003800,SILENCE
5,2.5000,3.0000,0.005839,SILENCE
6,3.0000,3.5000,0.005856,SILENCE
7,3.5000,4.0000,0.009997,SILENCE
8,4.0000,4.5000,0.013092,SUSPICIOUS
9,4.5000,5.0000,0.015056,SUSPICIOUS
10,5.0000,5.5000,0.013537,SUSPICIOUS
11,5.5000,6.0000,0.012156,WAIT
12,6.0000,6.5000,0.006793,SILENCE
13,6.5000,7.0000,0.003114,SILENCE
14,7.0000,7.5000,0.002762,SILENCE
15,7.5000,8.0000,0.002553,SILENCE
16,8.0000,8.5000,0.000892,SILENCE
17,8.5000,9.0000,0.000662,SILENCE
18,9.0000,9.5000,0.000839,SILENCE
19,9.5000,10.0000,0.001115,SILENCE
20,10.0000,10.5000,0.001068,SILENCE
21,10.5000,11.0000,0.000952,SILENCE
22,11.0000,11.5000,0.000768,SILENCE
23,11.5000,12.0000,0.000697,SILENCE
24,12.0000,12.5000,0.000593,SILENCE
25,12.5000,12.5667,0.000597,SILENCE
