clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,1.0000,,,WAIT,False
1,1.0000,2.0000,0.126898,,WAIT,False
2,2.0000,3.0000,0.072678,,WAIT,False
3,3.0000,4.0000,0.060536,,WAIT,False
4,4.0000,5.0000,0.065185,0.030746,WAIT,True
5,5.0000,6.0000,0.115336,0.104323,SILENCE,True
6,6.0000,7.0000,0.134898,0.050066,SILENCE,True
7,7.0000,8.0000,0.072641,0.035065,SILENCE,True
8,8.0000,9.0000,0.077285,0.048255,SILENCE,True
9,9.0000,10.0000,0.080306,0.050319,SILENCE,True
10,10.0000,11.0000,0.128924,0.093199,SILENCE,True
11,11.0000,12.0000,0.112708,0.041715,SILENCE,True
12,12.0000,13.0000,0.071297,0.045873,SILENCE,True
13,13.0000,14.0000,0.082971,0.039902,SILENCE,True
14,14.0000,15.0000,0.074028,0.041159,SILENCE,True
15,15.0000,16.0000,0.106213,0.098233,SILENCE,True
16,16.0000,17.0000,0.139412,0.042993,SILENCE,True
17,17.0000,18.0000,0.073676,0.038222,SILENCE,True
18,18.0000,19.0000,0.066685,0.042409,SILENCE,True
19,19.0000,20.0000,0.076423,0.041241,SILENCE,True
20,20.0000,21.0000,0.883352,0.853787,SUSPICIOUS,True
21,21.0000,22.0000,0.123184,0.810498,SUSPICIOUS,True
22,22.0000,23.0000,0.113343,0.808281,SUSPICIOUS,True
23,23.0000,24.0000,0.107785,0.805995,SUSPICIOUS,True
24,24.0000,25.0000,0.110793,0.848701,SUSPICIOUS,True
25,25.0000,26.0000,0.623136,0.063851,SUSPICIOUS,True
26,26.0000,27.0000,0.072831,0.076177,SILENCE,True
27,27.0000,28.0000,0.084305,0.065672,SILENCE,True
28,28.0000,29.0000,0.077539,0.061009,SILENCE,True
29,29.0000,30.0000,0.085846,0.052989,SILENCE,True
