clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,0.5000,,,WAIT,False
1,0.5000,1.0000,0.001105,,WAIT,False
2,1.0000,1.5000,0.002174,,WAIT,False
3,1.5000,2.0000,0.002564,0.003009,WAIT,True
4,2.0000,2.5000,0.003800,0.007122,SILENCE,True
5,2.5000,3.0000,0.005839,0.009806,SILENCE,True
6,3.0000,3.5000,0.005856,0.012549,SILENCE,True
7,3.5000,4.0000,0.009997,0.016616,SILENCE,True
8,4.0000,4.5000,0.013092,0.020879,SUSPICIOUS,True
9,4.5000,5.0000,0.015056,0.024349,SUSPICIOUS,True
10,5.0000,5.5000,0.013537,0.019728,SUSPICIOUS,True
11,5.5000,6.0000,0.012156,0.033695,WAIT,True
12,6.0000,6.5000,0.006793,0.026408,SILENCE,True
13,6.5000,7.0000,0.003114,0.025398,SILENCE,True
14,7.0000,7.5000,0.002762,0.023942,SILENCE,True
15,7.5000,8.0000,0.002553,0.023530,SILENCE,True
16,8.0000,8.5000,0.000892,0.021475,SILENCE,True
17,8.5000,9.0000,0.000662,0.020227,SILENCE,True
18,9.0000,9.5000,0.000839,0.019498,SILENCE,True
19,9.5000,10.0000,0.001115,0.018847,SILENCE,True
20,10.0000,10.5000,0.001068,0.017662,SILENCE,True
21,10.5000,11.0000,0.000952,0.018114,SILENCE,True
22,11.0000,11.5000,0.000768,0.017761,SILENCE,True
23,11.5000,12.0000,0.000697,0.017292,SILENCE,True
24,12.0000,12.5000,0.000593,0.016962,SILENCE,True
25,12.5000,12.5667,0.000597,0.015615,SILENCE,True
